"Dia","1ª Dose","2ª Dose","Dose Única","Dose Reforço","2ª Dose Reforço","Dose Adicional","Total de Doses Aplicadas"
"17/01/2021","26,818","11,981","2,613","994","90","144","42,640"
"18/01/2021","2,650","165","123","150","1","64","3,153"
"19/01/2021","62,037","306","8","196","1","79","62,627"
"20/01/2021","348,890","721","15","99","2","86","349,813"
"21/01/2021","392,653","814","2","283","1","116","393,869"
"22/01/2021","351,350","1,234","3","48","0","81","352,716"
"23/01/2021","87,347","307","4","22","0","21","87,701"
"24/01/2021","35,686","266","3","73","0","44","36,072"
"25/01/2021","227,255","433","7","99","1","47","227,842"
"26/01/2021","262,122","608","12","101","2","34","262,879"
"27/01/2021","307,990","531","5","138","1","61","308,726"
"28/01/2021","340,978","650","6","140","0","53","341,827"
"29/01/2021","302,948","451","10","53","0","27","303,489"
"30/01/2021","78,065","173","8","36","0","6","78,288"
"31/01/2021","35,735","78","8","123","2","44","35,990"
"01/02/2021","242,711","783","11","57","1","19","243,582"
"02/02/2021","275,329","3,294","10","66","0","25","278,724"
"03/02/2021","289,084","10,436","11","88","3","66","299,688"
"04/02/2021","308,046","23,689","2","84","2","33","331,856"
"05/02/2021","284,687","25,321","8","29","1","28","310,074"
"06/02/2021","90,937","3,568","4","10","0","4","94,523"
"07/02/2021","28,550","1,167","17","51","0","35","29,820"
"08/02/2021","242,831","36,429","19","77","2","27","279,385"
"09/02/2021","252,292","48,254","19","69","0","19","300,653"
"10/02/2021","271,158","91,628","19","94","0","27","362,926"
"11/02/2021","301,725","153,486","3","120","2","41","455,377"
"12/02/2021","324,510","181,243","10","39","2","20","505,824"
"13/02/2021","97,120","36,779","9","17","0","6","133,931"
"14/02/2021","21,123","19,753","9","123","0","21","41,029"
"15/02/2021","173,704","147,410","9","106","1","44","321,274"
"16/02/2021","129,953","182,299","6","94","1","110","312,463"
"17/02/2021","136,053","233,363","8","79","2","24","369,529"
"18/02/2021","146,955","280,612","1","74","2","43","427,687"
"19/02/2021","118,219","210,787","3","30","1","15","329,055"
"20/02/2021","26,002","34,201","4","26","2","5","60,240"
"21/02/2021","7,937","9,507","4","122","4","20","17,594"
"22/02/2021","80,927","158,522","27","53","0","15","239,544"
"23/02/2021","82,898","135,226","17","119","2","9","218,271"
"24/02/2021","71,540","120,009","6","60","1","21","191,637"
"25/02/2021","95,240","109,778","24","59","17","41","205,159"
"26/02/2021","184,416","119,834","8","38","0","4","304,300"
"27/02/2021","204,140","33,893","4","20","2","5","238,064"
"28/02/2021","49,717","11,072","8","50","0","30","60,877"
"01/03/2021","382,793","126,310","3","28","2","9","509,145"
"02/03/2021","357,635","167,180","4","27","1","10","524,857"
"03/03/2021","453,375","165,708","27","136","11","22","619,279"
"04/03/2021","361,082","161,228","4","85","2","14","522,415"
"05/03/2021","341,453","178,201","10","40","1","23","519,728"
"06/03/2021","165,803","68,946","1","11","0","7","234,768"
"07/03/2021","37,970","13,877","19","91","0","18","51,975"
"08/03/2021","289,374","155,865","34","84","2","20","445,379"
"09/03/2021","238,944","171,947","4","99","1","39","411,034"
"10/03/2021","266,063","184,097","14","86","1","24","450,285"
"11/03/2021","272,761","185,723","115","139","4","24","458,766"
"12/03/2021","313,017","156,736","172","46","0","14","469,985"
"13/03/2021","162,588","37,328","202","16","0","11","200,145"
"14/03/2021","34,876","6,844","29","103","0","6","41,858"
"15/03/2021","409,444","113,030","275","92","0","26","522,867"
"16/03/2021","324,796","100,974","281","86","2","13","426,152"
"17/03/2021","276,636","86,142","297","103","2","16","363,196"
"18/03/2021","355,166","82,639","240","121","1","24","438,191"
"19/03/2021","650,222","74,589","179","174","0","16","725,180"
"20/03/2021","354,704","22,692","38","21","0","4","377,459"
"21/03/2021","77,304","7,055","3","51","0","15","84,428"
"22/03/2021","580,012","77,456","206","61","2","10","657,747"
"23/03/2021","734,737","98,950","137","58","3","30","833,915"
"24/03/2021","871,980","144,277","221","106","1","18","1,016,603"
"25/03/2021","908,911","150,777","77","96","6","13","1,059,880"
"26/03/2021","953,768","133,008","52","53","0","12","1,086,893"
"27/03/2021","718,758","47,849","24","29","0","3","766,663"
"28/03/2021","210,843","16,288","11","42","2","9","227,195"
"29/03/2021","892,854","153,409","59","99","5","17","1,046,443"
"30/03/2021","1,025,377","164,783","17","116","2","11","1,190,306"
"31/03/2021","870,857","199,131","27","135","2","36","1,070,188"
"01/04/2021","606,256","150,949","33","68","2","30","757,338"
"02/04/2021","232,089","28,022","11","12","1","5","260,140"
"03/04/2021","383,071","57,040","18","9","0","4","440,142"
"04/04/2021","66,767","18,938","4","114","4","9","85,836"
"05/04/2021","679,049","367,177","41","136","13","20","1,046,436"
"06/04/2021","598,952","283,377","71","128","7","29","882,564"
"07/04/2021","535,168","281,405","34","127","7","16","816,757"
"08/04/2021","406,672","307,490","36","64","4","13","714,279"
"09/04/2021","422,663","492,607","32","44","0","15","915,361"
"10/04/2021","435,447","196,575","13","22","0","7","632,064"
"11/04/2021","73,185","41,221","4","163","5","8","114,586"
"12/04/2021","538,229","432,067","38","73","3","9","970,419"
"13/04/2021","455,096","415,082","65","86","3","25","870,357"
"14/04/2021","425,009","427,282","14","67","3","13","852,388"
"15/04/2021","354,664","533,330","11","80","5","6","888,096"
"16/04/2021","331,906","701,005","11","64","2","15","1,033,003"
"17/04/2021","380,928","291,192","7","28","1","8","672,164"
"18/04/2021","103,986","47,477","1","61","4","9","151,538"
"19/04/2021","514,512","702,244","26","109","7","24","1,216,922"
"20/04/2021","664,982","808,998","13","146","7","24","1,474,170"
"21/04/2021","526,014","278,645","3","61","2","6","804,731"
"22/04/2021","587,740","830,715","9","75","7","16","1,418,562"
"23/04/2021","560,692","680,936","6","67","3","11","1,241,715"
"24/04/2021","324,657","324,669","1","40","0","4","649,371"
"25/04/2021","56,561","85,092","4","66","14","8","141,745"
"26/04/2021","466,861","703,770","9","88","8","24","1,170,760"
"27/04/2021","454,594","653,673","12","82","7","16","1,108,384"
"28/04/2021","471,005","568,696","12","86","10","14","1,039,823"
"29/04/2021","499,087","459,066","7","92","1","14","958,267"
"30/04/2021","415,162","342,405","11","64","5","13","757,660"
"01/05/2021","224,880","116,163","6","9","1","5","341,064"
"02/05/2021","91,946","25,966","4","28","3","0","117,947"
"03/05/2021","496,114","393,410","7","139","4","13","889,687"
"04/05/2021","626,356","342,162","12","70","8","15","968,623"
"05/05/2021","788,565","309,482","17","77","12","8","1,098,161"
"06/05/2021","989,161","206,237","25","51","8","14","1,195,496"
"07/05/2021","758,784","193,283","21","21","2","9","952,120"
"08/05/2021","369,142","123,049","17","43","0","1","492,252"
"09/05/2021","22,950","13,311","21","20","5","2","36,309"
"10/05/2021","534,747","251,302","12","76","6","16","786,159"
"11/05/2021","581,805","264,748","9","126","6","10","846,704"
"12/05/2021","662,874","187,000","15","59","5","17","849,970"
"13/05/2021","619,350","164,940","17","58","3","9","784,377"
"14/05/2021","704,374","220,109","16","49","1","16","924,565"
"15/05/2021","346,494","208,035","17","26","0","9","554,581"
"16/05/2021","132,830","87,922","26","31","3","6","220,818"
"17/05/2021","555,427","243,558","14","57","7","13","799,076"
"18/05/2021","673,145","269,564","14","67","8","13","942,811"
"19/05/2021","662,809","263,567","20","71","15","25","926,507"
"20/05/2021","688,860","330,609","26","59","4","21","1,019,579"
"21/05/2021","675,616","303,391","9","41","3","13","979,073"
"22/05/2021","290,407","156,690","4","20","0","4","447,125"
"23/05/2021","47,275","22,002","2","13","2","5","69,299"
"24/05/2021","528,434","277,976","9","32","12","2","806,465"
"25/05/2021","637,439","238,389","11","48","5","14","875,906"
"26/05/2021","618,638","225,635","49","42","4","22","844,390"
"27/05/2021","692,424","199,911","15","47","3","9","892,409"
"28/05/2021","818,430","158,296","25","33","0","17","976,801"
"29/05/2021","397,599","57,380","37","20","0","4","455,040"
"30/05/2021","64,804","6,349","23","22","3","4","71,205"
"31/05/2021","654,034","129,955","14","60","12","12","784,087"
"01/06/2021","850,323","206,861","86","63","5","13","1,057,351"
"02/06/2021","1,067,452","199,326","107","55","7","6","1,266,953"
"03/06/2021","467,513","58,289","31","41","10","18","525,902"
"04/06/2021","714,225","94,849","40","36","2","16","809,168"
"05/06/2021","448,034","42,062","95","30","0","8","490,229"
"06/06/2021","90,694","4,817","122","67","14","5","95,719"
"07/06/2021","979,382","132,177","163","75","15","22","1,111,834"
"08/06/2021","1,117,655","107,569","134","58","9","19","1,225,444"
"09/06/2021","1,164,308","86,326","297","90","9","18","1,251,048"
"10/06/2021","1,172,537","78,817","125","97","14","13","1,251,603"
"11/06/2021","1,278,517","69,762","29","113","4","8","1,348,433"
"12/06/2021","869,416","18,285","70","36","0","10","887,817"
"13/06/2021","206,863","4,071","43","11","5","3","210,996"
"14/06/2021","1,198,673","77,387","141","79","23","15","1,276,318"
"15/06/2021","1,395,892","86,138","135","60","10","22","1,482,257"
"16/06/2021","1,581,107","109,545","134","80","2","37","1,690,905"
"17/06/2021","1,468,612","93,919","216","60","1","30","1,562,838"
"18/06/2021","1,395,553","82,719","220","59","2","26","1,478,579"
"19/06/2021","1,094,958","100,129","290","34","0","6","1,195,417"
"20/06/2021","232,805","20,558","258","45","8","15","253,689"
"21/06/2021","1,181,778","138,104","436","113","24","21","1,320,476"
"22/06/2021","1,233,159","173,418","626","107","10","18","1,407,338"
"23/06/2021","1,233,330","138,051","705","65","9","22","1,372,182"
"24/06/2021","998,203","99,421","879","70","5","22","1,098,600"
"25/06/2021","1,053,944","101,726","70,295","61","2","49","1,226,077"
"26/06/2021","847,873","60,517","139,818","43","1","50","1,048,302"
"27/06/2021","145,142","8,413","34,355","20","9","39","187,978"
"28/06/2021","1,052,674","178,377","265,628","98","9","45","1,496,831"
"29/06/2021","1,196,129","182,502","185,484","97","12","36","1,564,260"
"30/06/2021","1,170,890","198,453","175,636","104","14","40","1,545,137"
"01/07/2021","1,057,337","168,039","119,036","92","2","36","1,344,542"
"02/07/2021","1,168,303","176,566","121,338","68","2","21","1,466,298"
"03/07/2021","756,080","91,582","84,290","29","0","13","931,994"
"04/07/2021","131,560","27,381","32,334","45","14","8","191,342"
"05/07/2021","1,171,197","265,113","114,460","82","15","36","1,550,903"
"06/07/2021","1,255,073","246,391","351,731","159","11","139","1,853,504"
"07/07/2021","1,142,227","270,137","621,152","137","9","185","2,033,847"
"08/07/2021","1,088,692","253,539","432,913","108","6","80","1,775,338"
"09/07/2021","943,446","251,164","344,827","72","2","213","1,539,724"
"10/07/2021","633,499","140,444","191,958","105","2","53","966,061"
"11/07/2021","82,365","27,526","35,089","31","4","4","145,019"
"12/07/2021","943,884","461,498","203,531","142","7","120","1,609,182"
"13/07/2021","840,643","483,427","199,532","107","11","245","1,523,965"
"14/07/2021","823,447","533,763","140,155","130","10","64","1,497,569"
"15/07/2021","780,665","545,095","110,518","235","5","32","1,436,550"
